01 - 02	135,28	152,82	135,49	151,34	134,76	143,78	148,57	155,31
02 - 03	131,45	148,34	125,86	149,44	133,07	137,00	143,19	154,26
03 - 04	103,79	134,96	110,33	128,18	128,79	131,14	139,98	148,42
04 - 05	110,94	120,87	90,00	123,72	125,03	130,55	135,85	147,02
05 - 06	133,40	136,40	118,42	123,98	122,75	137,45	143,82	151,03
06 - 07	149,36	161,06	128,04	130,31	128,23	151,40	165,38	176,65
07 - 08	174,03	177,32	167,98	133,10	136,13	176,10	186,83	203,29
08 - 09	180,63	186,92	176,48	148,90	145,43	195,00	198,95	225,04
09 - 10	180,70	188,10	181,01	159,66	160,11	199,19	205,51	225,00
10 - 11	167,99	176,91	181,64	157,50	161,52	195,00	198,75	212,42
11 - 12	157,53	166,99	181,42	154,58	159,74	190,00	205,43	200,98
12 - 13	141,24	152,89	168,13	140,20	153,65	183,06	184,93	193,20
13 - 14	128,56	140,48	162,55	116,50	134,74	180,00	176,83	185,20
14 - 15	131,30	150,91	170,73	121,56	137,53	181,50	177,60	192,51
15 - 16	136,57	140,72	174,24	125,96	149,86	185,00	173,58	197,30
16 - 17	132,70	142,89	175,50	131,13	154,27	188,00	172,36	199,19
17 - 18	167,62	166,37	192,95	157,51	164,93	198,05	186,20	206,42
18 - 19	182,24	183,89	224,39	177,31	178,55	200,70	197,96	215,19
19 - 20	189,74	187,36	220,00	178,58	174,01	193,70	193,70	210,34
20 - 21	175,02	176,48	187,84	172,51	157,15	182,09	178,36	192,28
21 - 22	160,00	164,42	172,85	162,32	147,60	170,07	157,25	180,07
22 - 23	161,09	164,18	169,11	141,40	143,85	160,83	151,99	175,61
23 - 00	152,30	156,30	159,09	122,59	149,50	154,25	138,70	167,00

00 - 01	161,83	160,00	145,49	145,00	146,48	158,09	125,86	148,70
01 - 02	159,27	155,13	141,78	143,73	145,10	155,26	124,48	140,00
02 - 03	155,91	150,00	140,20	145,34	138,83	147,49	120,01	140,06
03 - 04	149,93	147,95	139,07	142,06	130,00	129,12	107,86	122,20
04 - 05	146,52	145,97	141,60	140,10	115,13	129,55	95,64	113,74
05 - 06	155,82	149,60	145,93	148,93	113,07	135,80	109,86	127,29
06 - 07	171,19	175,69	170,54	175,64	113,82	143,15	129,59	141,50
07 - 08	186,60	196,64	198,04	200,65	115,43	156,37	149,70	170,02
08 - 09	230,00	215,90	214,12	213,39	122,00	164,19	165,14	181,93
09 - 10	256,66	182,54	193,30	200,53	118,59	169,83	158,41	178,20
10 - 11	203,36	171,84	174,98	185,08	118,83	164,11	164,55	170,09
11 - 12	176,20	148,62	157,58	174,99	122,84	156,39	143,13	167,21
12 - 13	157,85	140,23	156,91	159,09	116,82	148,84	132,80	156,86
13 - 14	155,07	135,14	145,13	153,91	107,33	133,37	129,95	152,74
14 - 15	159,40	136,46	157,25	156,70	110,05	134,09	134,14	161,44
15 - 16	163,99	144,74	171,87	165,96	116,37	141,61	139,50	163,39
16 - 17	165,73	158,30	189,98	181,80	126,35	155,36	134,65	167,28
17 - 18	174,95	183,99	222,26	198,94	147,97	170,29	141,99	178,17
18 - 19	225,00	192,45	245,60	213,50	171,38	184,16	158,70	183,12
19 - 20	237,59	193,03	229,00	205,38	176,54	179,96	185,13	175,33
20 - 21	198,03	176,29	199,03	186,21	168,21	167,81	173,06	163,50
21 - 22	179,99	162,84	188,18	166,46	153,66	158,10	152,15	152,97
22 - 23	174,99	169,72	173,27	158,19	155,74	152,37	150,98	143,66
23 - 00	166,61	160,97	163,02	154,00	144,18	136,47	146,58	134,65

00 - 01	120,00	150,87	135,03	135,62	140,09	149,00	158,95	155,58
01 - 02	100,60	145,95	130,95	132,32	138,76	134,47	154,51	154,28
02 - 03	95,10	144,91	130,00	132,16	135,80	132,47	150,03	150,00
03 - 04	88,34	130,00	130,01	132,12	129,04	128,10	133,48	139,00
04 - 05	84,00	126,49	127,28	132,32	131,00	129,00	132,16	138,00
05 - 06	96,76	132,67	136,43	141,93	137,43	130,14	153,42	144,59
06 - 07	117,22	152,48	168,69	166,46	163,19	135,71	153,07	167,29
07 - 08	152,00	169,77	185,00	199,99	196,08	144,79	162,30	186,30
08 - 09	158,59	175,91	188,76	206,98	229,99	149,40	146,40	202,71
09 - 10	151,44	173,73	171,22	180,60	196,20	150,33	162,35	186,91
10 - 11	149,34	163,51	158,85	164,63	173,35	145,56	155,00	168,29
11 - 12	135,08	158,33	140,96	143,42	152,31	140,07	149,91	155,29
12 - 13	123,78	144,14	125,69	131,11	135,94	129,89	135,10	135,70
13 - 14	120,00	125,57	121,75	128,60	132,91	120,00	130,16	125,50
14 - 15	132,94	130,06	124,30	127,90	135,36	120,00	127,09	124,58
15 - 16	122,33	136,90	129,35	131,98	148,45	124,63	123,31	131,86
16 - 17	118,35	142,03	146,26	152,05	161,08	135,16	127,89	150,80
17 - 18	144,66	166,81	160,73	180,83	188,06	158,54	154,57	161,70
18 - 19	152,72	170,34	175,60	199,99	221,80	175,10	174,12	176,97
19 - 20	164,60	167,71	175,00	192,97	206,63	175,58	177,96	185,88
20 - 21	159,54	159,59	169,07	175,81	187,86	170,00	162,57	172,27
21 - 22	152,72	146,00	151,20	160,09	169,19	157,06	155,58	167,48
22 - 23	150,30	132,04	152,41	151,03	160,97	152,88	152,23	167,03
23 - 00	151,71	123,90	144,05	141,73	150,12	144,66	147,70	160,93

00 - 01	149,84	133,84	135,01	139,90	149,35	107,93	115,66	146,52
01 - 02	145,30	128,82	131,77	128,00	145,51	113,30	109,40	134,06
02 - 03	141,90	140,70	129,24	125,30	141,89	110,52	105,02	129,49
03 - 04	131,80	124,02	124,81	126,49	135,03	107,21	93,00	93,04
04 - 05	129,82	117,74	125,20	126,99	133,59	108,58	92,55	80,28
05 - 06	130,86	138,68	130,00	133,05	146,95	113,30	97,78	77,55
06 - 07	135,04	153,42	153,98	155,01	157,54	128,43	110,08	85,75
07 - 08	150,43	160,68	170,00	173,13	162,21	156,74	116,87	94,32
08 - 09	153,98	165,45	178,24	176,34	179,16	168,46	120,00	110,92
09 - 10	157,50	161,72	174,48	164,55	177,34	158,12	119,04	130,00
10 - 11	152,32	160,10	166,10	154,90	161,59	149,48	116,38	110,95
11 - 12	146,96	160,61	164,86	150,01	157,15	141,08	114,16	108,05
12 - 13	144,51	146,81	150,30	148,00	147,59	118,50	110,90	100,00
13 - 14	129,99	142,85	146,48	132,64	135,00	117,54	107,00	84,17
14 - 15	121,18	139,54	141,28	136,42	138,52	113,50	104,41	86,37
15 - 16	117,93	128,00	136,09	151,18	130,56	114,00	107,83	97,60
16 - 17	119,56	125,74	140,44	157,13	149,26	118,50	120,61	111,34
17 - 18	133,00	150,66	152,80	165,01	164,85	140,74	141,64	129,58
18 - 19	153,92	160,30	165,22	175,00	178,13	153,55	159,44	148,63
19 - 20	163,34	174,18	165,00	172,73	177,10	168,72	159,20	153,98
20 - 21	160,22	171,80	161,25	162,06	170,00	162,56	153,82	136,48
21 - 22	148,00	160,75	151,14	154,02	158,80	154,00	150,04	121,19
22 - 23	149,30	157,30	148,00	153,16	153,20	148,41	144,92	117,42
23 - 00	145,44	153,10	136,87	135,00	142,58	148,22	134,37	113,95

00 - 01	144,09	142,24	147,56	145,69	145,00	134,00	122,83	136,00
01 - 02	142,00	137,33	145,79	142,49	140,00	137,01	133,09	130,00
02 - 03	147,73	142,10	143,54	141,80	139,64	143,17	132,90	120,80
03 - 04	142,47	137,52	143,11	140,00	135,80	138,23	125,03	110,65
04 - 05	142,49	136,40	143,62	140,00	131,00	138,23	120,07	107,00
05 - 06	143,03	136,00	146,37	144,52	140,06	138,82	139,83	106,80
06 - 07	143,00	134,99	162,19	165,52	162,63	162,45	163,49	107,04
07 - 08	141,14	145,39	187,03	186,41	184,74	177,91	186,66	109,23
08 - 09	135,54	150,00	220,00	223,92	186,03	194,77	195,42	130,82
09 - 10	137,26	151,99	200,74	207,05	165,53	194,80	177,16	134,10
10 - 11	133,43	144,40	191,04	190,67	150,94	173,10	182,17	97,82
11 - 12	132,89	134,48	158,04	164,99	140,33	161,21	163,74	93,62
12 - 13	130,00	124,42	146,37	148,41	132,58	149,49	140,11	86,51
13 - 14	126,15	115,00	143,47	145,13	130,47	147,53	134,07	55,93
14 - 15	123,26	111,90	145,10	154,56	130,26	152,92	130,47	55,84
15 - 16	131,93	117,30	145,64	148,01	126,65	150,01	130,97	84,73
16 - 17	137,75	123,01	142,41	146,09	136,93	150,28	146,44	98,92
